"state","gun_type","notes","n_killed","n_injured"
"Massachusetts","Handgun","ammo, drugs, S&W 38",0,0
"North Carolina","Unknown",NA,0,2
"New York","Unknown",NA,1,0
"Missouri","Unknown",NA,1,0
"Mississippi","Unknown",NA,1,0
"Alabama","Unknown",NA,0,1
"Louisiana","Unknown","Aggravated battery by shooting.",0,0
"Maryland","Unknown","39.350910, -76.548970 ;",0,1
"Georgia","Unknown",NA,1,0
"New Jersey","Unknown",NA,0,2
"Tennessee","Unknown","boyfriend of one of White Station High School girls bullying another girl fired shots in the air and at her father's car at school bus stop",0,0
"Maryland","Handgun","traffic stop, drugs, handgun",0,0
"Louisiana","Unknown",NA,0,0
"Tennessee","Handgun","traffic stop found drugs and loaded semi-automatic handgun",0,0
"Georgia","Unknown",NA,0,1
"New Jersey","Unknown","Victim shot self on school property.",1,0
"Texas","Unknown","1 inj db;
30.039481, -95.344449 ;",0,1
"Virginia","Unknown","unloaded gun found on school campus",0,0
"Massachusetts","Handgun","CCL holder AD fired 9mm in elevator",0,0
"Pennsylvania","Unknown","39.996210, -75.169639 ;",1,0
"Florida","Handgun","followed from Executive Inn, arrest with pistol ammo stolen items",0,0
"Pennsylvania","Unknown","vic died at hospital",1,0
"Indiana","Unknown","Victim initially reported as suicide, but suspect confessed to acquaintance; suspect in custody;",1,0
"Illinois","Unknown","Walk-up shooter wounds victim, leg; good",0,1
"California","Unknown",NA,0,0
"California","AR-15",NA,0,0
"New York","Unknown",NA,0,1
"California","Unknown",NA,0,0
"Indiana","AR-15","AR-15 rifle w/ laser, loaded Glock 23 w/ 2 magazines, drugs seized in search of felon's apartment;",0,0
"North Carolina","Unknown","bank robbery",0,0
"Ohio","Handgun","Man tells 911 he killed his g/f; in custody, handgun recovered;",1,0
"Florida","Rifle","respond to Willow Rd, child found wandering, vic found in driveway with rifle, shot girlfriend's cousin",1,0
"Ohio","Unknown",NA,1,0
"Florida","Auto","raids at 908 and 912, 5 others on drugs ONLY, 4 guns incl Ruger 380, Lorcin 380, Walther 22LR 22 cal, SKS 7.62",0,0
"Missouri","Unknown","Started as fight on Kansas City Area Transport Authority Bus. Victim shot after stabbing suspect.",0,1
"Tennessee","Handgun","traffic stop, drugs, counterfeit cash, 38 cal handgun",0,0
"Kansas","Shotgun","checkbook, 8 guns stolen from home between 2/17 and 3/1, incl 2 Boito shotguns, Ruger 28ga, Win 12ga, Rem 870, A&A 12ga, Daily 20ga, Rem 22 cal rifle",0,0
"Idaho",NA,"male vic rob outside bar with BB gun, after incident went inside for help, patrons detain suspect on Whittier",0,0
"Georgia","Unknown",NA,0,1
"South Carolina","Unknown","shots fired into home",0,0
"Kentucky","Unknown","Russell neighborhood near 26th St, officer shot man hiding behind mattress inside abandoned home after doing drugs; shooting being reviewed, poss AD",0,1
"Ohio","Unknown","41.464435, -81.567168",0,1
"Missouri","Unknown","Suspect shot roommate in leg.;
39.163241, -91.881697 ;",0,1
"North Carolina","Unknown","Stolen gun and drugs found during search",0,0
"Pennsylvania","Unknown",NA,1,0
"Alabama","Unknown",NA,0,0
"Florida","Auto","Crimes occurred March-April 2017",0,0
"New Jersey","Handgun","Vic charged with possession and drug crimes",0,1
"Ohio","Handgun",NA,0,0
