"date","state","avg_victim_age","avg_suspect_age"
2017-03-01,"Missouri",30,19
2017-03-01,"Indiana",62,45
2017-03-01,"Ohio",63,56
2017-03-01,"Florida",26,19
2017-03-01,"Ohio",24,21
2017-03-01,"Pennsylvania",22,22
2017-03-01,"New Jersey",34,20
2017-03-01,"New Jersey",20,20
2017-03-01,"Mississippi",21,21.2
2017-03-01,"District of Columbia",28,26
2017-03-01,"Louisiana",23,24
2017-03-01,"Texas",54,25
2017-03-01,"New Jersey",28,24
2017-03-01,"Kentucky",21,21
2017-03-01,"North Carolina",39,24
2017-03-01,"Kentucky",57,29
2017-03-01,"California",24,15
2017-03-01,"District of Columbia",42,30
2017-03-02,"Georgia",25,26
2017-03-02,"Washington",46,23
2017-03-02,"Texas",37,54
2017-03-02,"Louisiana",25,36
2017-03-02,"Nevada",25,17
2017-03-02,"Minnesota",39,41
2017-03-02,"Florida",41,57
2017-03-02,"Texas",27,18
2017-03-02,"Florida",20,18
2017-03-02,"Mississippi",35,18
2017-03-02,"Rhode Island",33,19
2017-03-02,"Maryland",26,42
2017-03-02,"South Carolina",43,29
2017-03-02,"Virginia",31,23
2017-03-02,"Florida",23,19
2017-03-02,"Georgia",49,44
2017-03-02,"Oklahoma",67,68
2017-03-02,"Arkansas",18,15
2017-03-03,"Minnesota",32,25
2017-03-03,"Kentucky",59,35
2017-03-03,"Oklahoma",78,52
2017-03-03,"Georgia",51,16.5
2017-03-03,"North Carolina",40,30
2017-03-03,"Kansas",16,42
2017-03-03,"Georgia",24,39
2017-03-03,"Texas",22,30
2017-03-03,"Arizona",19.5,15
2017-03-03,"Indiana",36,34.5
2017-03-03,"Maryland",46,27
2017-03-03,"Washington",15,18
2017-03-03,"Pennsylvania",47,45
2017-03-03,"Arkansas",34,39
2017-03-04,"California",29,25.5
2017-03-04,"Georgia",30,32
2017-03-04,"Texas",34.5,29
2017-03-04,"North Carolina",68,37
2017-03-04,"Nevada",42,24
2017-03-04,"New York",38,26
2017-03-04,"California",55,51
2017-03-04,"Michigan",31,25
2017-03-04,"Hawaii",31,72
2017-03-04,"Florida",31,30.5
2017-03-04,"Ohio",15,18.5
2017-03-04,"California",43,50
2017-03-04,"Virginia",47,57
2017-03-04,"California",37,40
2017-03-04,"Oklahoma",20.3333333333333,21
2017-03-04,"Illinois",56,55
2017-03-04,"Texas",70,70
2017-03-04,"Florida",49,37
2017-03-04,"Tennessee",27,39.5
2017-03-04,"Ohio",33,20
2017-03-04,"Oklahoma",41.5,50
2017-03-04,"Ohio",41,28
