"","n_injured","n_killed"
"1",4,0
"2",3,1
"3",3,1
"4",0,4
"5",2,2
"6",0,4
"7",0,5
"8",5,0
"9",4,0
"10",6,1
"11",3,1
"12",3,1
"13",3,2
"14",5,0
"15",3,1
"16",5,0
"17",3,1
"18",4,0
"19",4,0
"20",4,1
"21",2,3
"22",1,4
"23",3,4
"24",3,1
"25",4,0
"26",4,0
"27",8,0
"28",3,1
"29",2,2
"30",4,0
"31",3,1
"32",3,1
"33",2,2
"34",5,0
"35",13,0
"36",2,2
"37",2,6
"38",4,0
"39",7,0
"40",3,2
"41",5,0
"42",7,0
"43",3,1
"44",3,1
"45",2,3
"46",2,3
"47",4,1
"48",3,1
"49",3,1
"50",3,1
"51",4,0
"52",4,2
"53",4,1
"54",0,4
"55",0,5
"56",4,0
"57",5,0
"58",1,6
"59",4,0
"60",3,1
"61",5,0
"62",3,1
"63",2,2
"64",0,1
"65",5,0
"66",4,0
"67",5,0
"68",4,0
"69",1,3
"70",0,5
"71",4,0
"72",4,0
"73",5,0
"74",19,0
"75",4,0
"76",2,0
"77",4,1
"78",4,0
"79",0,1
"80",4,0
"81",2,2
"82",4,0
"83",4,0
"84",2,2
"85",2,2
"86",3,1
"87",4,1
"88",3,1
"89",4,0
"90",4,0
"91",4,0
"92",2,2
"93",4,0
"94",7,0
"95",7,0
"96",1,6
"97",4,0
"98",6,0
"99",4,1
"100",5,0
"101",3,1
"102",4,0
"103",3,1
"104",3,1
"105",3,1
"106",6,0
"107",5,0
"108",4,1
"109",4,0
"110",4,1
"111",3,1
"112",8,1
"113",4,0
"114",4,1
"115",3,1
"116",4,1
"117",2,2
"118",6,0
"119",1,3
"120",9,0
"121",4,0
"122",1,0
"123",0,4
"124",0,1
"125",4,0
"126",6,1
"127",3,1
"128",4,0
"129",5,0
"130",4,0
"131",4,1
"132",3,1
"133",4,0
"134",2,2
"135",2,2
"136",3,1
"137",2,2
"138",4,0
"139",4,0
"140",3,1
"141",4,1
"142",5,0
"143",4,1
"144",3,1
"145",4,0
"146",4,0
"147",5,0
"148",4,0
"149",4,0
"150",4,0
"151",0,4
"152",0,7
"153",4,0
"154",4,0
"155",4,0
"156",4,0
"157",3,2
"158",5,0
"159",4,3
"160",3,1
"161",0,1
"162",4,3
"163",4,0
"164",4,4
"165",2,2
"166",4,0
"167",4,0
"168",4,1
"169",4,0
"170",0,4
"171",0,1
"172",4,0
"173",4,0
"174",4,0
"175",4,1
"176",3,1
"177",4,1
"178",2,2
"179",0,1
"180",3,1
"181",2,2
"182",1,4
"183",4,0
"184",4,0
"185",3,1
"186",4,2
"187",4,1
"188",4,0
"189",0,4
"190",3,1
"191",4,0
"192",5,0
"193",1,3
"194",6,0
"195",3,11
"196",3,2
"197",4,0
"198",4,0
"199",5,0
"200",4,1
"201",12,0
"202",2,2
"203",0,5
"204",4,0
"205",3,1
"206",4,2
"207",6,1
"208",6,0
"209",4,0
"210",4,0
"211",4,0
"212",4,0
"213",1,1
"214",12,1
"215",4,0
"216",4,0
"217",5,1
"218",0,1
"219",0,4
"220",5,0
"221",0,1
"222",8,0
"223",4,0
"224",2,2
"225",5,2
"226",5,1
"227",4,0
"228",0,5
"229",4,0
"230",4,0
"231",4,1
"232",6,1
"233",0,5
"234",3,1
"235",5,0
"236",3,1
"237",4,0
"238",0,4
"239",7,3
"240",16,2
"241",3,1
"242",3,1
"243",1,4
"244",3,1
"245",2,3
"246",4,0
"247",1,0
"248",1,0
"249",1,4
"250",7,0
"251",3,1
"252",4,0
"253",4,0
"254",4,0
"255",4,0
"256",5,0
"257",2,2
"258",0,1
"259",0,4
"260",4,0
"261",0,1
"262",4,0
"263",5,0
"264",3,1
"265",4,1
"266",4,0
"267",3,1
"268",3,1
"269",0,1
"270",2,3
"271",3,3
"272",6,2
"273",5,3
"274",2,0
"275",0,1
"276",1,3
"277",6,0
"278",0,1
"279",0,0
"280",0,0
"281",0,1
"282",1,0
"283",1,0
"284",1,0
"285",1,0
"286",0,0
"287",1,0
"288",1,0
"289",1,0
"290",0,0
"291",0,1
"292",0,0
"293",0,1
"294",0,1
"295",1,0
"296",0,0
"297",0,1
"298",1,0
"299",0,1
"300",1,0
"301",1,0
"302",0,1
"303",0,0
"304",1,0
"305",1,0
"306",1,0
"307",2,0
"308",0,0
"309",0,0
"310",0,0
"311",1,0
"312",0,0
"313",0,0
"314",0,0
"315",0,1
"316",3,0
"317",0,1
"318",0,0
"319",1,0
"320",0,0
"321",0,1
"322",0,3
"323",0,1
"324",1,0
"325",3,0
"326",0,1
"327",0,0
"328",1,0
"329",1,1
"330",1,0
"331",1,0
"332",0,1
"333",2,0
"334",0,1
"335",0,0
"336",0,0
"337",0,0
"338",0,0
"339",0,1
"340",0,0
"341",0,0
