"n_killed","longitude","latitude","date","n_injured","source_url"
1,-75.1697,39.9959,2017-03-01,0,"http://philadelphia.cbslocal.com/2017/03/01/police-2-people-killed-in-separate-shootings/"
1,-75.1232,40.0246,2017-03-01,0,"http://philadelphia.cbslocal.com/2017/03/01/police-2-people-killed-in-separate-shootings/"
1,-79.388,41.4084,2017-03-01,0,"http://gantdaily.com/2017/06/21/breaking-exploreclarion-clarion-man-charged-with-homicide-in-fatal-shooting/"
1,-75.9336,40.3354,2017-03-01,1,"http://www.readingeagle.com/news/article/man-killed-in-reading-shooting"
2,-75.2591,40.7058,2017-03-03,0,"http://www.poconorecord.com/news/20170304/suspect-in-palmer-womans-death-killed?rssfeed=true"
1,-75.2463,39.8988,2017-03-05,1,"http://6abc.com/news/teen-brothers-shot-in-sw-philly-identified/1785974/"
1,-75.1475,40.0528,2017-03-05,0,"http://www.philly.com/philly/news/Man-killed-teen-injured-in-double-shooting.html"
2,-79.8133,40.4157,2017-03-07,0,"http://pittsburgh.cbslocal.com/2017/03/07/police-investigating-turtle-creek-shooting/"
1,-75.163,40.0513,2017-03-07,0,"http://www.philly.com/philly/news/crime/Man-timothy-kenner-dies-after-Germantown-shooting-March-7-2017.html"
1,-75.1353,40.001,2017-03-08,0,"http://6abc.com/home/man-shot-in-head-killed-in-west-kensington-/1791799/"
1,-80.3578,40.9937,2017-03-08,0,"http://www.ncnewsonline.com/news/district-attorney-state-police-unit-investigating-fatal-shooting/article_d0ff07e4-04f1-11e7-aad1-4b799e0e6ff4.html"
1,-75.161,40.0123,2017-03-10,0,"http://www.bradfordera.com/news/state/men-charged-in-slaying-of-boy-at-takeout-restaurant/article_3b007d77-5360-577e-b88d-e0c2018c3138.html"
1,-74.9792,40.0899,2017-03-10,0,"http://philadelphia.cbslocal.com/2017/03/11/police-investigate-death-of-off-duty-officer-in-northeast-philly/"
2,-79.9962,40.4144,2017-03-11,1,"http://www.post-gazette.com/local/city/2017/03/12/Authorities-ID-men-killed-in-Knoxville-Pittsburgh-murder-suicide/stories/201703120197"
1,-75.2212,39.9235,2017-03-12,0,"http://philadelphia.cbslocal.com/2017/03/12/police-man-shot-in-head-pronounced-dead-on-scene-in-southwest-philadelphia/"
2,-75.2652,41.0094,2017-03-12,0,"http://wnep.com/2017/03/13/two-dead-after-shooting-in-the-poconos/"
1,-80.0137,40.4194,2017-03-12,0,"http://www.wtae.com/article/warrant-issued-in-connection-with-shooting-in-mt-washington-that-left-3-year-old-girl-dead/9147061"
1,-80.2701,40.6045,2017-03-12,0,"http://www.wpxi.com/news/top-stories/arrest-made-in-death-of-woman-found-shot-on-aliquippa-street/503042242"
1,-75.1115,40.0191,2017-03-14,0,"http://www.philly.com/philly/news/breaking/Man-27-fatally-shot-in-Kensington.html"
1,-78.9124,40.3101,2017-03-14,1,"http://www.observer-reporter.com/20170314/1_dead_1_injured_in_shooting_outside_tavern_in_johnstown"
1,-75.2557,39.9768,2017-03-16,0,"http://6abc.com/mother-seeks-help-in-finding-sons-killer-one-year-later/3228261/"
1,-79.9088,40.8674,2017-03-16,0,"http://pittsburgh.cbslocal.com/2017/03/16/at-least-one-person-shot-in-butler-home/"
1,-75.1846,40.0706,2017-03-18,0,"http://www.philly.com/philly/news/Man-shot-multiple-times-dies.html"
1,-79.8832,40.4564,2017-03-18,0,"http://pittsburgh.cbslocal.com/2017/03/18/homewood-shooting-2/"
1,-75.1474,39.9892,2017-03-19,0,"http://6abc.com/news/man-shot-to-death-outside-north-philadelphia-bar/1807828/"
1,-79.8888,40.4537,2017-03-19,0,"http://triblive.com/local/allegheny/12092824-74/man-fatally-shot-in-homewood?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+alltribstories+%28TribLIVE+News%29"
1,-75.158,40.0216,2017-03-19,0,"http://6abc.com/news/man-shot-killed-in-philadelphias-logan-section-/1808478/"
1,-77.1064,39.9494,2017-03-19,0,"http://www.pennlive.com/news/2017/04/woman_admitted_to_intentionall.html"
2,-75.9592,40.4987,2017-03-20,0,"http://www.mcall.com/news/breaking/mc-berks-county-murder-suicide-shoemakersville-20170320-story.html"
1,-75.1462,40.029,2017-03-20,0,"http://philadelphia.cbslocal.com/2017/05/12/west-ruscomb-street-shooting-death/"
1,-75.1362,40.0025,2017-03-21,0,"http://6abc.com/news/man-shot-and-killed-in-olney/1810510/"
1,-76.2121,39.927,2017-03-22,0,"http://abc27.com/2017/04/06/2nd-suspect-charged-in-providence-township-homicide/"
1,-75.1504,39.9929,2017-03-23,0,"http://www.philly.com/philly/news/Broad-daylight-shooting-Kensington-Philadelphia-leaves-man-25-dead.html"
1,-75.4602,40.6055,2017-03-25,3,"http://www.lehighvalleylive.com/allentown/index.ssf/2017/03/fight_led_to_fatal_shopping_ce.html"
1,-79.18,40.6081,2017-03-25,1,"http://timesleader.com/news/646003/officials-1-dead-1-critical-in-shootings-near-indiana-university-of-pa"
1,-75.0674,40.0174,2017-03-25,0,"http://www.philly.com/philly/blogs/real-time/Male-shot-to-death-Sanger-Street-Northeast-Philadelphia-March-25-2017.html"
1,-75.2406,39.9536,2017-03-27,0,"http://philadelphia.cbslocal.com/2017/03/27/police-teen-fatally-shot-in-cobbs-creek/?e=gaySx4SEAQLvSA"
