"n_guns_involved","n_affected"
1,"0"
1,"0"
1,"0"
1,"1"
1,"3"
1,"0"
1,"1"
1,"1"
2,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"2"
1,"0"
1,"1"
1,"1"
1,"0"
1,"0"
1,"1"
1,"0"
1,"0"
1,"0"
1,"1"
1,"1"
1,"0"
1,"1"
1,"0"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"2"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"0"
1,"2"
1,"2"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"1"
1,"0"
1,"0"
1,"2"
1,"0"
2,"1"
1,"1"
1,"2"
1,"0"
1,"1"
1,"0"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"0"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"2"
1,"0"
1,"0"
1,"2"
1,"1"
1,"0"
1,"0"
1,"0"
1,"0"
1,"1"
1,"0"
1,"0"
1,"0"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"2"
1,"0"
1,"1"
1,"2"
1,"1"
1,"2"
1,"3"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
3,"0"
1,"2"
1,"0"
1,"1"
1,"0"
1,"0"
1,"1"
1,"0"
1,"2"
1,"0"
1,"1"
1,"1"
1,"1"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"2"
1,"0"
1,"3"
1,"0"
1,"0"
1,"1"
1,"2"
1,"2"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"2"
1,"0"
1,"1"
1,"1"
1,"0"
3,"2"
1,"2"
1,"0"
1,"1"
1,"1"
1,"3"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"0"
1,"1"
1,"1"
1,"2"
1,"0"
1,"1"
1,"0"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"2"
1,"1"
1,"1"
1,"1"
1,"1"
2,"0"
1,"0"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"1"
1,"2"
1,"0"
1,"0"
1,"0"
1,"1"
1,"4"
1,"0"
1,"1"
1,"0"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"0"
2,"0"
1,"2"
1,"0"
1,"1"
1,"0"
1,"1"
1,"1"
6,"0"
1,"2"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
7,"0"
1,"3"
1,"3"
1,"1"
1,"0"
1,"0"
1,"1"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"0"
2,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"1"
1,"2"
1,"2"
1,"1"
1,"2"
1,"1"
10,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"2"
1,"0"
1,"0"
1,"0"
2,"1"
1,"1"
1,"0"
1,"1"
4,"0"
1,"1"
1,"0"
1,"2"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"0"
1,"0"
1,"0"
1,"0"
1,"1"
14,"0"
1,"1"
1,"0"
2,"0"
1,"1"
1,"1"
1,"2"
1,"0"
1,"0"
1,"1"
1,"0"
1,"1"
1,"0"
1,"0"
1,"0"
1,"0"
1,"0"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
2,"0"
1,"1"
1,"1"
1,"0"
1,"0"
1,"1"
1,"2"
2,"3"
1,"0"
1,"1"
1,"2"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"0"
1,"1"
1,"1"
1,"0"
2,"0"
1,"1"
1,"1"
